,speed,power,crop
2018-05-18 12:37:07,4.586,102.0,0.0
2018-05-18 12:37:08,4.557,98.0,0.0
2018-05-18 12:37:09,4.748,106.0,0.0
2018-05-18 12:37:10,4.867,158.0,0.0
2018-05-18 12:37:11,5.074,158.0,0.0
2018-05-18 12:37:12,5.352,155.0,0.0
2018-05-18 12:37:13,5.546,149.0,0.0
2018-05-18 12:37:14,5.648,142.0,0.0
2018-05-18 12:37:15,5.817,133.0,0.0
2018-05-18 12:37:16,5.864,110.0,0.0
2018-05-18 12:37:17,5.848,91.0,0.0
2018-05-18 12:37:18,5.832,99.0,0.0
2018-05-18 12:37:19,5.88,100.0,0.0
2018-05-18 12:37:20,5.954,98.0,0.0
2018-05-18 12:37:21,5.945,104.0,0.0
2018-05-18 12:37:22,6.012,91.0,0.0
2018-05-18 12:37:23,5.995,88.0,0.0
2018-05-18 12:37:24,6.046,167.0,0.0
2018-05-18 12:37:25,6.257,191.0,0.0
2018-05-18 12:37:26,6.504,187.0,0.0
2018-05-18 12:37:27,6.524,163.0,0.0
2018-05-18 12:37:28,6.584,158.0,0.0
2018-05-18 12:37:29,6.645,130.0,0.0
2018-05-18 12:37:30,6.645,134.0,0.0
2018-05-18 12:37:31,6.524,130.0,0.0
2018-05-18 12:37:32,6.564,86.0,0.0
2018-05-18 12:37:33,6.604,81.0,0.0
2018-05-18 12:37:34,6.624,75.0,0.0
2018-05-18 12:37:35,6.749,124.0,0.0
2018-05-18 12:37:36,6.792,148.0,0.0
2018-05-18 12:37:37,6.924,153.0,0.0
2018-05-18 12:37:38,6.946,130.0,0.0
2018-05-18 12:37:39,7.014,119.0,0.0
2018-05-18 12:37:40,6.857,120.0,0.0
2018-05-18 12:37:41,6.835,135.0,0.0
2018-05-18 12:37:42,6.835,127.0,0.0
2018-05-18 12:37:43,6.879,130.0,0.0
2018-05-18 12:37:44,6.924,112.0,0.0
2018-05-18 12:37:45,6.901,112.0,0.0
2018-05-18 12:37:46,6.835,101.0,0.0
2018-05-18 12:37:47,6.814,87.0,0.0
2018-05-18 12:37:48,6.728,86.0,0.0
2018-05-18 12:37:49,6.814,119.0,0.0
2018-05-18 12:37:50,6.924,120.0,0.0
2018-05-18 12:37:51,6.969,91.0,0.0
2018-05-18 12:37:52,6.946,118.0,0.0
2018-05-18 12:37:53,6.991,154.0,0.0
2018-05-18 12:37:54,7.06,160.0,0.0
2018-05-18 12:37:55,7.154,177.0,400.0
2018-05-18 12:37:56,7.202,195.0,400.0
2018-05-18 12:37:57,7.227,145.0,400.0
2018-05-18 12:37:58,7.276,154.0,400.0
2018-05-18 12:37:59,7.3,132.0,400.0
2018-05-18 12:38:00,7.227,124.0,400.0
2018-05-18 12:38:01,7.376,117.0,400.0
2018-05-18 12:38:02,7.3,90.0,400.0
2018-05-18 12:38:03,7.478,87.0,400.0
2018-05-18 12:38:04,7.376,82.0,400.0
2018-05-18 12:38:05,7.325,129.0,400.0
2018-05-18 12:38:06,7.376,145.0,400.0
2018-05-18 12:38:07,7.427,163.0,400.0
2018-05-18 12:38:08,7.325,174.0,400.0
2018-05-18 12:38:09,7.35,176.0,400.0
2018-05-18 12:38:10,7.427,157.0,400.0
2018-05-18 12:38:11,7.427,135.0,400.0
2018-05-18 12:38:12,7.427,116.0,400.0
2018-05-18 12:38:13,7.401,100.0,400.0
2018-05-18 12:38:14,7.35,101.0,400.0
2018-05-18 12:38:15,7.376,95.0,400.0
2018-05-18 12:38:16,7.427,92.0,400.0
2018-05-18 12:38:17,7.478,101.0,400.0
2018-05-18 12:38:18,7.401,113.0,400.0
2018-05-18 12:38:19,7.505,119.0,400.0
2018-05-18 12:38:20,7.478,145.0,400.0
2018-05-18 12:38:21,7.452,173.0,0.0
2018-05-18 12:38:22,7.452,169.0,0.0
2018-05-18 12:38:23,7.505,166.0,0.0
2018-05-18 12:38:24,7.478,152.0,0.0
2018-05-18 12:38:25,7.505,143.0,0.0
2018-05-18 12:38:26,7.557,182.0,0.0
2018-05-18 12:38:27,7.557,182.0,0.0
2018-05-18 12:38:28,7.557,182.0,0.0
2018-05-18 12:38:29,7.748,257.0,0.0
2018-05-18 12:38:30,8.009,317.0,0.0
2018-05-18 12:38:31,8.319,293.0,0.0
2018-05-18 12:38:32,8.689,300.0,0.0
2018-05-18 12:38:33,8.62,319.0,0.0
2018-05-18 12:38:34,8.654,333.0,0.0
