# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((5.021197e-01 1.132840e+01 6.966290e-01) (7.345949e-04 3.533220e-01 1.732658e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.696581e+00 -6.527264e+00 1.080903e+02) (-3.249193e-01 -1.602061e-02 3.520695e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((1.436791e+00 4.932246e+01 8.849933e-01) (2.993600e-03 4.575523e-01 -2.373819e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.585821e+01 -8.171795e+00 4.778845e+02) (-4.253599e-01 2.674648e-02 4.538412e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-9.447404e-01 1.016280e+02 1.339245e+01) (4.681377e-03 4.121406e-01 -4.888265e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.472969e+01 -1.351783e+02 1.024535e+03) (-4.045937e-01 5.454646e-02 4.069379e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-5.848614e-01 6.554684e+01 2.626224e+00) (1.185727e-02 3.329539e-01 -4.561024e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.408784e+01 -2.682253e+01 6.606341e+02) (-7.309245e-01 4.686132e-01 3.205766e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((3.168787e+00 1.245477e+01 -1.171963e+01) (1.723296e-02 3.447306e-01 -2.073311e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.222858e+02 1.207326e+02 9.262912e+01) (-4.899542e-01 2.226533e-01 3.268602e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((2.162312e+00 -4.980891e-02 -7.983515e+00) (1.510793e-02 3.323010e-01 -4.506220e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.464525e+01 8.261774e+01 -2.216787e+01) (-3.170036e-01 5.612367e-02 3.165892e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-2.593927e-01 8.531735e+00 4.291886e-01) (9.291311e-03 3.206282e-01 3.860767e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.219900e+00 -3.853673e+00 8.789926e+01) (-2.381911e-01 -3.155052e-02 3.107933e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-1.104857e+00 1.640372e+01 4.608087e+00) (2.413159e-03 3.055917e-01 5.848989e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.007059e+01 -4.659294e+01 1.750038e+02) (-2.102171e-01 -5.708871e-02 3.027994e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-7.016402e-01 1.577572e+01 3.307123e+00) (-1.392917e-04 2.894222e-01 3.777153e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.766695e+01 -3.337324e+01 1.646615e+02) (-2.493235e-01 -4.379069e-03 2.892435e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-1.116298e-01 9.679588e+00 -2.401238e-01) (-1.127661e-03 2.767657e-01 -5.650867e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.098436e+01 2.530574e+00 9.786506e+01) (-2.961517e-01 5.506621e-02 2.775780e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((4.796165e-02 5.165375e+00 -2.208759e+00) (-1.120335e-03 2.631153e-01 -9.941196e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.561879e+01 2.230511e+01 5.121122e+01) (-3.237595e-01 9.794451e-02 2.639326e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((-1.289676e-01 5.454467e+00 -1.457441e+00) (-4.778654e-04 2.551698e-01 -8.845928e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.840718e+01 1.462390e+01 5.589378e+01) (-3.037265e-01 8.760489e-02 2.553410e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.25e-05      	((-2.875939e-01 8.456874e+00 4.864685e-01) (-1.171477e-04 2.542883e-01 -5.157537e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.326185e+00 -4.929822e+00 8.746249e+01) (-2.661563e-01 5.114156e-02 2.540870e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5e-05       	((-2.429085e-01 1.044530e+01 1.601040e+00) (-7.292176e-07 2.561583e-01 -1.590184e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.507093e+00 -1.599534e+01 1.068494e+02) (-2.334579e-01 1.571768e-02 2.558229e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.75e-05      	((-6.939141e-02 9.967752e+00 1.304285e+00) (-1.786535e-04 2.559078e-01 2.235773e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.917052e+00 -1.284719e+01 1.003218e+02) (-2.162221e-01 -2.486151e-03 2.557410e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
