# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((9.168089e-01 1.225913e+01 8.480006e-01) (9.152749e-04 3.752354e-01 8.574845e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.629700e+00 -7.613230e+00 1.134536e+02) (-2.918479e-01 -8.617325e-02 3.742898e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((1.239841e+00 5.112699e+01 2.472244e+00) (4.736885e-03 4.777118e-01 2.087374e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.394530e+01 -2.392480e+01 4.986959e+02) (-4.127831e-01 -1.847890e-02 4.727460e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-7.366364e-01 1.049439e+02 1.651616e+01) (8.125099e-03 4.428731e-01 -2.262216e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.606835e+01 -1.663550e+02 1.057541e+03) (-3.991153e-01 6.970396e-03 4.344800e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.434784e+00 6.876477e+01 2.689583e+00) (1.038139e-02 3.700917e-01 -5.011729e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.985087e+01 -2.569781e+01 6.733830e+02) (-8.212698e-01 5.089322e-01 3.592655e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((3.298937e+00 1.410604e+01 -1.364526e+01) (1.172420e-02 3.475170e-01 -3.082916e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.428009e+02 1.399276e+02 1.074777e+02) (-6.092407e-01 3.181556e-01 3.354533e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((2.028978e+00 -2.232517e-01 -1.039860e+01) (9.742509e-03 3.166554e-01 -1.501304e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.746137e+01 1.063638e+02 -2.292334e+01) (-4.254670e-01 1.579402e-01 3.067514e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-7.172221e-02 8.970227e+00 2.020697e-01) (8.346962e-03 3.168692e-01 -1.798360e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.821756e+00 -1.766107e+00 9.053549e+01) (-3.036653e-01 2.481084e-02 3.084174e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-6.014400e-01 1.773387e+01 5.607697e+00) (4.609240e-03 3.129975e-01 4.020119e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.791004e+01 -5.638070e+01 1.837001e+02) (-2.454823e-01 -3.703787e-02 3.083596e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-2.149499e-01 1.705114e+01 4.080500e+00) (2.221632e-03 3.001082e-01 -2.541921e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.322673e+01 -4.073268e+01 1.729860e+02) (-2.735138e-01 3.146590e-03 2.978898e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((8.869764e-02 1.026398e+01 -2.940863e-01) (8.199615e-04 2.891531e-01 -6.584428e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.252101e+01 3.309309e+00 1.020002e+02) (-3.231770e-01 6.497142e-02 2.883353e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((4.770495e-02 5.341719e+00 -2.737304e+00) (2.187606e-04 2.752152e-01 -1.076185e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.109493e+01 2.767239e+01 5.315899e+01) (-3.483255e-01 1.061895e-01 2.750039e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((-9.735887e-02 5.861002e+00 -1.795654e+00) (6.250134e-04 2.680040e-01 -1.006341e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.219232e+01 1.806670e+01 5.981365e+01) (-3.329697e-01 9.972139e-02 2.673857e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.25e-05      	((-1.188927e-01 9.356151e+00 6.130185e-01) (1.511065e-03 2.685959e-01 -6.296177e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.169516e+00 -6.076186e+00 9.499109e+01) (-2.966553e-01 6.294571e-02 2.670862e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5e-05       	((-7.121188e-03 1.158754e+01 2.014287e+00) (2.228278e-03 2.717314e-01 -2.610708e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.132734e+00 -1.998886e+01 1.161791e+02) (-2.645268e-01 2.672976e-02 2.695025e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.75e-05      	((1.205000e-01 1.096888e+01 1.694527e+00) (2.642683e-03 2.717437e-01 -9.245826e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.472960e+00 -1.665932e+01 1.086996e+02) (-2.489783e-01 1.019006e-02 2.690992e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
