# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((1.965301e+00 3.118416e+01 9.857291e-01) (-1.099760e-03 7.144753e-01 1.041077e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.888703e+01 -7.811645e+00 2.916028e+02) (-6.139930e-01 -1.072496e-01 7.130315e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((2.428124e+00 1.294724e+02 6.727917e-01) (6.193010e-03 9.575274e-01 -2.315884e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.113964e+02 -4.872975e+00 1.267250e+03) (-8.693317e-01 5.522999e-03 9.481229e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((2.669025e+00 2.625244e+02 9.083732e+00) (1.711498e-02 1.061912e+00 -1.072895e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.570235e+02 -8.966836e+01 2.591107e+03) (-9.688483e-01 1.189108e-01 1.041550e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((3.469997e+00 1.776214e+02 -3.646359e-01) (1.051338e-02 9.723849e-01 -4.850162e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.612122e+02 6.257403e+00 1.736449e+03) (-1.251108e+00 4.831853e-01 9.590088e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((2.403490e+00 6.411200e+01 -8.159881e+00) (8.691094e-02 1.113770e+00 4.843883e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.269823e+02 8.390405e+01 6.157484e+02) (-4.415439e-01 -4.046280e-01 1.023721e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((4.594231e+00 2.964758e+01 -5.760417e-01) (1.317971e-01 1.058679e+00 4.254301e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.253044e+01 1.099888e+01 2.501611e+02) (-4.704256e-01 -2.975769e-01 9.238097e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((1.610710e+00 2.931102e+01 5.553400e+00) (-5.196416e-02 3.028529e-01 -2.345549e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.277454e+01 -5.305281e+01 2.767638e+02) (-2.501871e+00 2.282118e+00 3.539402e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-1.190725e+00 3.460182e+01 5.404040e+00) (-2.491277e-01 5.847351e-02 -2.525187e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.251243e+01 -5.458474e+01 3.577068e+02) (-2.436977e+00 2.258899e+00 3.079382e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-3.820276e+00 2.872875e+01 7.854178e-01) (-2.837037e-03 7.233066e-01 -1.748086e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.809430e+01 -1.131972e+01 3.255701e+02) (-7.558596e-01 1.648617e-01 7.244276e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-3.892119e+00 2.158272e+01 -3.941478e+00) (2.476987e-02 7.667628e-01 4.774738e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.705150e+01 3.570940e+01 2.551641e+02) (-5.750543e-01 -2.845544e-02 7.400782e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((-3.310372e+00 1.885760e+01 -4.696381e+00) (4.882834e-02 7.756467e-01 1.658283e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.085663e+01 4.387274e+01 2.221339e+02) (-4.634348e-01 -1.217573e-01 7.248500e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((-1.583938e+00 2.194349e+01 -1.960173e+00) (5.747977e-02 7.819903e-01 3.727154e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.647466e+01 1.843140e+01 2.354207e+02) (-2.628717e-01 -3.193937e-01 7.226059e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.25e-05      	((8.313148e-01 2.745762e+01 2.491811e+00) (5.378590e-02 7.633278e-01 3.297346e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.929947e+00 -2.344677e+01 2.659602e+02) (-2.879754e-01 -2.804702e-01 7.076814e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5e-05       	((2.512439e+00 2.973794e+01 4.996877e+00) (2.623922e-02 7.138796e-01 1.200829e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.401747e+01 -4.670466e+01 2.717265e+02) (-4.495004e-01 -9.959679e-02 6.859406e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.75e-05      	((1.952404e+00 2.733491e+01 4.401520e+00) (9.008412e-03 6.832823e-01 -8.177767e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.008137e+01 -4.138278e+01 2.534835e+02) (-5.491868e-01 1.067206e-02 6.727043e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4e-05         	((-2.001766e-01 2.305249e+01 2.016977e+00) (8.280146e-03 6.745480e-01 -6.434029e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.605424e-01 -1.985203e+01 2.325824e+02) (-5.988207e-01 6.581892e-02 6.647399e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4.25e-05      	((-1.834714e+00 2.047278e+01 2.014643e-01) (1.036124e-02 6.695702e-01 -6.971664e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.500698e+01 -3.404991e+00 2.233703e+02) (-6.010983e-01 7.331127e-02 6.576892e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4.5e-05       	((-1.759278e+00 2.109067e+01 1.717400e-01) (1.141971e-02 6.640450e-01 -6.926016e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.582186e+01 -2.948478e+00 2.287026e+02) (-5.965853e-01 7.401523e-02 6.510898e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4.75e-05      	((-6.438909e-01 2.339826e+01 1.372759e+00) (1.255079e-02 6.609028e-01 -5.937304e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.110427e+00 -1.369555e+01 2.403478e+02) (-5.847731e-01 6.539786e-02 6.467898e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-05         	((2.743335e-01 2.511636e+01 2.565164e+00) (1.282187e-02 6.591826e-01 -5.230516e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.019950e+00 -2.461052e+01 2.481334e+02) (-5.772653e-01 5.857293e-02 6.447876e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
