# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((2.846375e-01 1.199883e+01 6.604994e-01) (6.942776e-04 3.777039e-01 6.450096e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.780783e+00 -6.214008e+00 1.171942e+02) (-2.940322e-01 -6.542708e-02 3.767884e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-1.356218e+00 4.877663e+01 2.190504e+00) (4.544723e-03 4.878185e-01 1.212695e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.393344e+01 -2.290044e+01 5.014207e+02) (-4.060259e-01 -9.603580e-03 4.829425e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-6.416997e+00 1.080894e+02 1.430871e+01) (6.651482e-03 4.588988e-01 -2.497050e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.255363e+01 -1.487482e+02 1.145661e+03) (-4.070533e-01 2.853128e-02 4.518594e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-3.316479e+00 6.859065e+01 1.210658e+00) (1.491993e-02 3.607555e-01 -3.693718e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.307129e+01 -1.465064e+01 7.193077e+02) (-6.446538e-01 3.795682e-01 3.454143e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((2.037445e+00 7.518340e+00 -1.288252e+01) (1.619043e-02 3.515580e-01 -1.868937e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.269499e+02 1.312430e+02 5.456371e+01) (-4.621878e-01 1.974190e-01 3.349319e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((2.110316e+00 -4.304543e+00 -8.174643e+00) (1.349316e-02 3.302255e-01 -4.332084e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.991407e+01 8.415229e+01 -6.428972e+01) (-3.082216e-01 5.174526e-02 3.164061e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-5.321514e-02 9.442011e+00 1.380176e+00) (8.102283e-03 3.561499e-01 1.424397e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.355204e+00 -1.359212e+01 9.504711e+01) (-1.712655e-01 -1.376590e-01 3.477832e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-1.101091e+00 2.026339e+01 5.877433e+00) (3.150829e-03 3.414357e-01 9.515421e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.864672e+01 -5.954174e+01 2.138834e+02) (-2.039096e-01 -9.397481e-02 3.381082e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-1.008154e+00 1.902178e+01 3.889143e+00) (-2.390067e-04 3.172393e-01 -2.273962e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.962472e+01 -3.951008e+01 2.005866e+02) (-2.942499e-01 2.132816e-02 3.173862e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-5.624519e-01 1.070689e+01 -7.346739e-01) (-2.155516e-03 3.027024e-01 -1.108189e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.730688e+01 7.184269e+00 1.130008e+02) (-3.653931e-01 1.077361e-01 3.047908e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
