# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((-1.421403e-01 1.127274e+01 1.755404e-01) (-6.006508e-04 3.658861e-01 -8.321364e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.396479e+00 -1.592943e+00 1.142821e+02) (-3.407327e-01 6.369312e-03 3.664054e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-1.918177e+00 4.613319e+01 -2.512465e-01) (1.741777e-03 4.813455e-01 -3.787189e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.384017e+01 1.286378e+00 4.807440e+02) (-4.366801e-01 3.828372e-02 4.793926e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-8.947247e+00 9.249409e+01 3.091249e+00) (4.536817e-03 4.593025e-01 -3.762889e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.781941e+01 -3.871402e+01 1.015983e+03) (-4.118766e-01 4.041200e-02 4.545359e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-4.464058e+00 6.286335e+01 -9.205437e-01) (2.156958e-02 3.892047e-01 -1.320193e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.571523e+01 6.177157e+00 6.740164e+02) (-4.360780e-01 1.515862e-01 3.671054e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((3.977595e+00 1.620438e+01 -3.257693e+00) (2.093882e-02 3.613008e-01 -5.991200e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.154546e+01 3.801133e+01 1.217867e+02) (-3.417519e-01 7.804668e-02 3.398700e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((4.037768e+00 3.257732e+00 -1.748213e+00) (1.413900e-02 3.270947e-01 -3.177341e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.530171e+01 2.264423e+01 -8.297305e+00) (-2.873783e-01 4.294128e-02 3.126932e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-6.242374e-02 1.011693e+01 7.022514e-01) (8.471330e-03 3.174524e-01 1.625770e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.169046e-02 -6.381722e+00 1.018631e+02) (-2.386468e-01 -1.027373e-02 3.088006e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-2.410258e+00 1.670026e+01 1.826396e+00) (2.436570e-03 3.136416e-01 1.139354e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.211040e+00 -2.017298e+01 1.915227e+02) (-2.453838e-01 -1.084382e-02 3.111259e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-2.372429e+00 1.578281e+01 1.064435e+00) (-4.440428e-05 3.073003e-01 -2.515677e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.873393e+00 -1.253659e+01 1.820052e+02) (-2.768020e-01 2.377645e-02 3.073054e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-1.271112e+00 1.008970e+01 -5.104501e-01) (-3.082670e-04 2.994202e-01 -5.435031e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.375244e+01 4.361480e+00 1.139516e+02) (-2.974677e-01 5.328449e-02 2.996696e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((-4.666655e-01 5.907248e+00 -1.359312e+00) (3.988575e-04 2.878023e-01 -6.509796e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.779658e+01 1.367679e+01 6.399537e+01) (-2.952972e-01 6.509113e-02 2.873206e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((-3.674224e-01 6.073775e+00 -9.263453e-01) (1.037943e-03 2.798057e-01 -4.936347e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.353264e+01 9.410587e+00 6.464953e+01) (-2.708555e-01 5.002968e-02 2.786745e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
