# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((8.820432e-01 2.740904e+01 7.211043e-01) (-5.912980e-03 6.131756e-01 9.589561e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.637721e+01 -6.015519e+00 2.652450e+02) (-4.946968e-01 -1.023499e-01 6.177758e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-1.488644e+00 1.197999e+02 1.594454e+00) (1.330463e-03 8.591931e-01 3.159379e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.461866e+01 -1.750022e+01 1.212412e+03) (-7.387564e-01 -3.515334e-03 8.563722e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-6.647064e+00 2.354566e+02 5.801498e+00) (3.105706e-03 9.549599e-01 -1.596817e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.480188e+02 -6.551328e+01 2.420418e+03) (-9.204050e-01 1.599183e-01 9.502583e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.561846e-01 1.545187e+02 -4.769974e+00) (6.015955e-03 8.488351e-01 -5.188648e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.786651e+02 4.717852e+01 1.542953e+03) (-1.185283e+00 5.321056e-01 8.412774e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((5.275697e+00 5.272909e+01 -1.119178e+01) (9.772407e-03 8.722950e-01 1.547172e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.481470e+02 1.175629e+02 4.741470e+02) (-4.989701e-01 -1.294946e-01 8.612118e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((2.485112e+00 1.676480e+01 -5.820959e+00) (2.082830e-02 8.133338e-01 2.133338e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.295126e+01 6.165406e+01 1.428396e+02) (-3.972737e-01 -1.852515e-01 7.915141e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-2.404338e+00 2.271042e+01 1.998237e+00) (1.078248e-02 7.309458e-01 1.361655e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.723796e+00 -2.082018e+01 2.515597e+02) (-4.309382e-01 -1.221746e-01 7.193172e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-4.110057e+00 3.346919e+01 5.333485e+00) (1.150389e-02 6.711169e-01 3.084219e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.552400e+01 -5.540309e+01 3.763446e+02) (-5.104191e-01 -2.370144e-02 6.588103e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-2.884471e+00 3.452052e+01 3.663794e+00) (1.462312e-02 5.773583e-01 -2.173313e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.915570e+00 -3.769012e+01 3.745366e+02) (-7.204488e-01 2.219104e-01 5.621155e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-1.176249e+00 2.543696e+01 -2.826153e-01) (6.444879e-03 6.098878e-01 -1.948697e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.416043e+01 2.832335e+00 2.666125e+02) (-6.971058e-01 1.953047e-01 6.027162e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
