# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((1.300604e+00 1.133381e+01 6.560883e-02) (5.424815e-03 3.977868e-01 6.569326e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.261014e+00 4.528083e-01 1.001143e+02) (-3.116047e-01 -6.009103e-02 3.916224e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((4.783676e+00 4.956241e+01 -1.600931e+00) (6.002846e-03 5.102460e-01 2.827527e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.840318e+01 1.959739e+01 4.465881e+02) (-4.412136e-01 4.711253e-03 5.031938e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((1.287645e+00 9.075749e+01 6.346468e-01) (8.069936e-03 4.678116e-01 -4.904959e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.624190e+01 -5.520593e+00 8.939918e+02) (-4.473982e-01 5.499441e-02 4.587716e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.419598e+00 5.811364e+01 -4.283105e+00) (6.949211e-03 4.042864e-01 -2.058425e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.158999e+01 4.407464e+01 5.665252e+02) (-5.461665e-01 2.084139e-01 3.964987e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((3.416794e+00 1.724510e+01 -7.696317e+00) (-5.276433e-03 4.088302e-01 7.614460e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.724035e+01 8.001821e+01 1.374715e+02) (-2.822693e-01 -8.555849e-02 4.131004e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((1.235171e+00 5.685051e+00 -3.604609e+00) (-7.194434e-03 4.079992e-01 1.813755e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.801174e+01 3.713169e+01 4.396557e+01) (-1.856117e-01 -1.916057e-01 4.144218e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-5.073545e-01 1.017291e+01 1.652145e+00) (-1.537098e-03 3.707179e-01 1.387036e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.320157e+00 -1.679631e+01 1.067793e+02) (-1.878432e-01 -1.410133e-01 3.718184e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-8.498444e-01 1.521297e+01 3.670045e+00) (-1.912781e-03 3.470957e-01 7.790630e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.293277e+01 -3.708755e+01 1.607900e+02) (-2.240885e-01 -8.045818e-02 3.486774e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-5.283767e-01 1.453603e+01 2.245739e+00) (-1.187263e-03 3.186054e-01 -2.730533e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.391071e+00 -2.251025e+01 1.507641e+02) (-2.969594e-01 2.540967e-02 3.195698e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((5.524906e-03 9.697081e+00 -5.568240e-01) (-7.001390e-04 3.115315e-01 -7.933023e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.348727e+01 5.949253e+00 9.707320e+01) (-3.408490e-01 7.721486e-02 3.120355e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((7.330928e-02 5.950934e+00 -1.874206e+00) (-3.292217e-03 3.146251e-01 -6.693927e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.271560e+01 1.911258e+01 5.896911e+01) (-3.344454e-01 6.148113e-02 3.176073e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((-1.486374e-01 5.953268e+00 -1.201060e+00) (-3.792181e-03 3.107723e-01 -4.740153e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596029e+01 1.216271e+01 6.118583e+01) (-3.112280e-01 4.149206e-02 3.142664e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.25e-05      	((-4.311586e-01 8.201320e+00 2.346711e-01) (-5.649537e-03 3.106812e-01 -5.035309e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.950192e+00 -2.420431e+00 8.642262e+01) (-2.699953e-01 -2.646877e-03 3.159899e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5e-05       	((-6.592024e-01 9.950530e+00 1.068669e+00) (-5.441737e-03 3.089087e-01 1.141313e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.466292e+00 -1.095052e+01 1.061351e+02) (-2.519825e-01 -1.857015e-02 3.140075e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
