# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((6.940741e-01 2.908841e+01 9.264938e-02) (5.859005e-04 6.975087e-01 -7.691736e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.417740e+01 2.963210e-01 2.840167e+02) (-7.413461e-01 7.429423e-02 6.954832e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-1.577052e+00 1.322875e+02 -5.026194e+00) (5.374264e-03 9.467546e-01 -1.381824e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.639425e+02 5.057426e+01 1.338684e+03) (-9.631204e-01 1.406934e-01 9.395746e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-1.217609e+01 2.366139e+02 -1.636434e+01) (2.327208e-02 9.680750e-01 -1.716637e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.729992e+02 1.542402e+02 2.488708e+03) (-9.427165e-01 1.890786e-01 9.432035e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-5.379720e+00 9.709576e+01 -3.058089e+01) (2.855939e-02 8.504508e-01 -1.635995e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.071609e+02 3.041626e+02 1.028922e+03) (-8.276334e-01 1.840039e-01 8.200957e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((1.257591e+01 3.743927e+01 -7.093678e+00) (6.944772e-02 1.689996e+00 3.688712e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.021883e+02 8.394499e+01 2.490249e+02) (2.615380e+00 -3.638285e+00 1.614064e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((3.034404e+01 3.447012e+02 1.075047e+02) (9.453501e-02 2.293492e+00 5.207914e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.028211e+02 -1.050282e+03 3.126071e+03) (3.838557e+00 -5.140214e+00 2.189706e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((5.095037e+00 2.752248e+02 7.272088e+01) (1.496604e-02 -1.397131e+00 -1.308677e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.784004e+02 -7.214715e+02 2.690187e+03) (-1.275050e+01 1.304639e+01 -1.405887e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-3.729788e+00 6.423961e+01 2.524256e+00) (-4.951038e-02 -2.496293e+00 -1.314144e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.590190e+01 -2.846527e+01 6.785967e+02) (-1.219947e+01 1.306713e+01 -2.435362e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-7.225535e+00 -1.835680e+02 -6.658932e+01) (-4.998034e-02 -1.198939e+00 -7.228286e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.923642e+02 6.581029e+02 -1.752790e+03) (-6.881574e+00 7.173536e+00 -1.142246e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-1.112682e+00 -1.308567e+02 -4.856504e+01) (-6.673820e-02 8.602281e-01 6.855151e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.307635e+02 4.833341e+02 -1.290406e+03) (-5.793734e-01 -1.025131e-01 9.258331e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((1.145752e+01 -3.764158e+01 -1.430648e+01) (2.708428e-02 2.228631e+00 3.796544e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.270584e+02 1.495633e+02 -4.899805e+02) (2.516007e+00 -3.772639e+00 2.192542e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
3e-05         	((1.240260e+01 2.417206e+02 6.140406e+01) (8.496276e-02 1.299808e+00 1.362220e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.947516e+02 -6.025323e+02 2.279900e+03) (5.326369e-01 -1.313108e+00 1.210057e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
3.25e-05      	((-4.385202e+00 2.890654e+02 6.508002e+01) (2.906914e-02 8.965870e-01 1.236153e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.037132e+02 -6.482893e+02 2.921315e+03) (6.150067e-01 -1.218361e+00 8.651737e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.5e-05       	((-1.360037e+01 1.559540e+02 2.555714e+01) (5.734372e-02 5.976191e-01 4.929685e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.700571e+02 -2.612222e+02 1.691268e+03) (1.556959e-02 -4.648895e-01 5.387022e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
3.75e-05      	((-1.341633e+01 4.811957e+01 -3.847933e+00) (-1.921031e-02 -2.479886e-01 -2.864956e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.209447e+01 3.106937e+01 6.165650e+02) (-2.932466e+00 2.835504e+00 -2.251724e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4e-05         	((-1.328906e+01 -1.072492e+02 -4.732545e+01) (-4.928005e-02 -5.385881e-02 -1.899459e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.300041e+02 4.640810e+02 -9.322104e+02) (-2.065336e+00 1.858778e+00 -2.006406e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
4.25e-05      	((4.543993e+00 -7.172967e+01 -2.792027e+01) (-1.056292e-02 5.770522e-01 7.344040e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.510206e+02 2.800648e+02 -7.599821e+02) (2.685219e-01 -7.437913e-01 5.865706e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
4.5e-05       	((1.346474e+01 -3.656481e+00 -2.757517e+00) (4.544067e-02 1.317587e+00 3.142928e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.126635e+01 3.430875e+01 -1.725789e+02) (2.314351e+00 -3.110158e+00 1.267290e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
4.75e-05      	((4.733478e+00 9.826391e+01 3.066304e+01) (3.452648e-02 1.213007e+00 2.265029e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.529853e+02 -3.026740e+02 9.306665e+02) (1.492043e+00 -2.238461e+00 1.174573e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-05         	((-9.538147e+00 1.117999e+02 3.182573e+01) (-8.120405e-03 8.164652e-01 8.888264e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.569732e+02 -3.216638e+02 1.210275e+03) (3.153353e-01 -8.902997e-01 8.228220e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5.25e-05      	((-1.842434e+01 6.603158e+01 1.490442e+01) (-2.534582e-02 6.041697e-01 1.319591e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.096177e+02 -1.581939e+02 8.452870e+02) (-3.379605e-01 -1.456361e-01 6.287022e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5.5e-05       	((-1.850791e+01 3.069214e+01 2.881363e+00) (-9.659798e-02 -1.765192e-01 -2.541117e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.670406e+00 -3.871532e+01 4.944387e+02) (-2.631921e+00 2.478614e+00 -7.658216e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
5.75e-05      	((-9.658377e+00 -1.233579e+01 -1.046043e+01) (-5.289955e-02 2.009884e-01 -1.064655e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.054185e+02 9.890696e+01 -2.426908e+01) (-1.338910e+00 1.030273e+00 2.552220e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
6e-05         	((-5.826703e-01 -5.095496e+00 -7.069534e+00) (-2.568239e-02 5.942530e-01 -2.437080e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.458400e+01 7.004162e+01 -4.464321e+01) (-7.162960e-01 2.261106e-01 6.193043e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
6.25e-05      	((4.902924e+00 9.198163e+00 -1.664393e+00) (-1.679853e-02 8.182349e-01 1.447750e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.724154e+01 1.910043e+01 4.223326e+01) (-4.372762e-01 -1.560090e-01 8.333063e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
6.5e-05       	((3.623009e-01 3.515661e+01 6.420934e+00) (7.842454e-03 8.444088e-01 4.467543e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.050381e+01 -6.381996e+01 3.470140e+02) (-1.465712e-01 -4.425127e-01 8.342189e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
6.75e-05      	((-5.979059e+00 4.744191e+01 8.710752e+00) (-7.971554e-03 7.157725e-01 3.016127e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.679131e+01 -8.995601e+01 5.338255e+02) (-2.248838e-01 -3.068756e-01 7.221833e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7e-05         	((-8.494946e+00 3.767532e+01 5.516818e+00) (-1.082132e-02 6.782810e-01 2.348521e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.951249e+01 -5.950429e+01 4.621366e+02) (-2.731560e-01 -2.421968e-01 6.877759e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.25e-05      	((-7.694636e+00 2.758772e+01 2.900872e+00) (-2.177339e-02 5.567021e-01 -1.529405e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.423392e+00 -3.304510e+01 3.534564e+02) (-6.008430e-01 1.374083e-01 5.778878e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-05       	((-4.945572e+00 7.411005e+00 -1.988195e+00) (-2.899900e-02 3.840368e-01 -4.600169e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.019282e+01 1.717964e+01 1.244104e+02) (-8.208892e-01 4.388724e-01 4.133431e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.75e-05      	((-1.693827e+00 6.708215e+00 -2.239892e+00) (-1.877597e-02 5.638066e-01 -2.189808e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.231781e+01 2.147031e+01 8.425814e+01) (-6.740097e-01 2.037264e-01 5.818659e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
8e-05         	((7.041297e-01 1.448798e+01 6.876511e-01) (-2.395879e-02 8.832735e-01 1.178235e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.819592e+00 -6.321798e+00 1.375693e+02) (5.724624e-01 -1.191875e+00 9.054523e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
8.25e-05      	((-2.660545e+00 4.577883e+01 8.562201e+00) (-7.075206e-03 8.146650e-01 8.464323e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.585243e+01 -8.660561e+01 4.833757e+02) (2.728405e-01 -8.519918e-01 8.200433e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
8.5e-05       	((-5.322175e+00 5.143400e+01 9.329720e+00) (-5.314607e-03 6.761707e-01 2.214798e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.047133e+01 -9.558011e+01 5.668412e+02) (-2.864675e-01 -2.281218e-01 6.802547e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
8.75e-05      	((-6.458958e+00 3.720429e+01 5.268818e+00) (-4.155885e-03 6.442475e-01 2.000679e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.694147e+01 -5.578029e+01 4.368922e+02) (-2.908046e-01 -2.061747e-01 6.472748e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
9e-05         	((-6.219996e+00 2.684701e+01 2.760648e+00) (-2.925338e-03 5.255976e-01 1.059783e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.088053e+00 -3.073053e+01 3.313472e+02) (-3.216361e-01 -1.118998e-01 5.278712e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
9.25e-05      	((-4.031313e+00 1.178036e+01 -6.309575e-01) (8.006235e-06 4.588464e-01 8.524513e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.913400e+01 4.203486e+00 1.588663e+02) (-3.076573e-01 -8.974248e-02 4.583316e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
9.5e-05       	((-1.729262e+00 1.045589e+01 -1.200581e-01) (-1.000186e-02 5.452429e-01 7.687859e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.319591e+01 3.093125e-01 1.221347e+02) (-3.619897e-01 -8.698040e-02 5.545657e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
9.75e-05      	((-5.780027e-01 1.727819e+01 2.269278e+00) (-1.071067e-02 6.310277e-01 1.918991e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.358575e+00 -2.288914e+01 1.784746e+02) (-2.929095e-01 -2.021254e-01 6.407281e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001        	((-7.145506e-01 2.315460e+01 3.891146e+00) (-4.898664e-03 6.339973e-01 1.045241e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.059821e+01 -3.909659e+01 2.385182e+02) (-3.826005e-01 -1.119013e-01 6.378386e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001025     	((-2.001995e+00 2.575510e+01 4.093543e+00) (-5.664308e-03 6.193647e-01 5.855847e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.121186e+01 -4.175360e+01 2.776118e+02) (-4.745092e-01 -1.408133e-02 6.240573e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000105      	((-3.125695e+00 2.425371e+01 3.266321e+00) (-4.437189e-03 6.107598e-01 -2.653832e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.360192e+01 -3.410419e+01 2.741665e+02) (-5.030064e-01 1.883691e-02 6.142447e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001075     	((-3.460810e+00 2.249186e+01 2.627837e+00) (-5.406498e-03 5.993387e-01 -4.313858e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.052286e+00 -2.794259e+01 2.600532e+02) (-5.139400e-01 3.476600e-02 6.038509e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00011       	((-3.038039e+00 2.159553e+01 2.465977e+00) (-5.118616e-03 5.836091e-01 -6.945958e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.896456e+00 -2.611925e+01 2.467894e+02) (-5.322319e-01 6.107984e-02 5.878848e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001125     	((-2.338082e+00 2.111179e+01 2.412098e+00) (-6.586351e-03 5.839881e-01 -8.790112e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.644640e+00 -2.521833e+01 2.347978e+02) (-5.515802e-01 7.857380e-02 5.897388e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
