# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((2.084462e-01 2.904459e+01 9.156502e-01) (-1.857715e-02 7.449167e-01 1.650945e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.950301e+01 -8.525505e+00 2.880939e+02) (-6.351892e-01 -1.846525e-01 7.612703e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-9.034571e+00 1.186884e+02 3.420466e+00) (-8.655252e-03 9.645540e-01 5.120276e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.273603e+01 -4.253899e+01 1.276525e+03) (-8.869550e-01 -6.057408e-02 9.708949e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-2.689455e+01 2.466430e+02 1.440315e+01) (-1.053030e-02 1.055462e+00 -1.388184e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.036755e+02 -1.689580e+02 2.735221e+03) (-1.071697e+00 1.284773e-01 1.063896e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-1.290370e+01 1.639339e+02 -2.020195e+00) (1.163962e-02 9.374027e-01 -3.986026e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.765460e+02 1.083297e+01 1.767979e+03) (-1.218253e+00 4.119044e-01 9.231334e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((8.721885e+00 4.963851e+01 -1.412116e+01) (2.336540e-02 8.840870e-01 -2.344615e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.782505e+02 1.539660e+02 4.081235e+02) (-1.011025e+00 2.590617e-01 8.582686e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((9.036522e+00 1.044435e+01 -9.163828e+00) (1.956351e-02 8.176429e-01 -3.610981e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.187736e+01 1.038933e+02 1.341849e+01) (-7.604846e-01 5.652234e-02 7.962269e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-8.734385e-01 2.091699e+01 1.648943e+00) (1.083586e-02 7.788772e-01 1.408399e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.937613e-01 -1.535940e+01 2.178951e+02) (-5.546810e-01 -1.271155e-01 7.665516e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-6.463860e+00 3.674638e+01 6.771196e+00) (-4.968747e-03 7.628426e-01 1.096818e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.191701e+01 -7.287764e+01 4.321755e+02) (-5.713326e-01 -1.134424e-01 7.664488e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-6.162867e+00 3.733499e+01 4.186270e+00) (-1.595474e-02 7.494883e-01 -7.586254e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.810704e+00 -4.698374e+01 4.348894e+02) (-6.653958e-01 -1.586146e-02 7.640752e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-3.462077e+00 2.583156e+01 -1.461110e+00) (-1.890257e-02 7.329996e-01 -9.974502e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.883015e+01 1.223630e+01 2.928555e+02) (-7.443575e-01 7.963926e-02 7.505220e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((-1.817584e+00 1.595270e+01 -4.414019e+00) (-1.690960e-02 7.081570e-01 -1.395898e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.708378e+01 4.355908e+01 1.777869e+02) (-7.555448e-01 1.221976e-01 7.238099e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
