# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((1.233132e+00 1.074590e+01 6.219655e-02) (5.249140e-03 3.846859e-01 6.248223e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.780728e+00 4.293803e-01 9.492121e+01) (-3.009855e-01 -5.709758e-02 3.787142e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((4.541266e+00 4.688231e+01 -1.460254e+00) (5.724418e-03 4.890365e-01 -6.905630e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.462849e+01 1.801250e+01 4.222716e+02) (-4.235317e-01 5.459208e-03 4.823076e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((1.272155e+00 8.608049e+01 6.121818e-01) (7.898738e-03 4.477665e-01 -4.464985e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.224397e+01 -5.358678e+00 8.474071e+02) (-4.262216e-01 5.038610e-02 4.389381e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((1.259551e+00 5.565687e+01 -3.886594e+00) (6.788762e-03 3.863871e-01 -1.933444e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.573219e+01 3.995572e+01 5.435475e+02) (-5.187815e-01 1.959442e-01 3.787983e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((3.278217e+00 1.646965e+01 -7.114656e+00) (-3.793222e-03 3.862618e-01 5.272293e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.103315e+01 7.409887e+01 1.311148e+02) (-2.845347e-01 -6.032828e-02 3.891387e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((1.267811e+00 4.801371e+00 -3.426532e+00) (-5.707319e-03 3.815849e-01 1.520992e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.538370e+01 3.539740e+01 3.486917e+01) (-1.890603e-01 -1.604396e-01 3.866062e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((-4.262760e-01 9.190420e+00 1.427834e+00) (-1.161229e-03 3.509489e-01 1.288889e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.068011e+00 -1.448235e+01 9.617575e+01) (-1.798756e-01 -1.307573e-01 3.516981e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-7.680579e-01 1.428107e+01 3.290578e+00) (-1.613825e-03 3.317416e-01 7.869173e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.003414e+01 -3.323647e+01 1.506583e+02) (-2.103534e-01 -8.090709e-02 3.330323e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-4.813105e-01 1.384262e+01 2.028232e+00) (8.094788e-05 3.028930e-01 -3.370091e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.825617e+00 -2.031350e+01 1.433511e+02) (-2.890374e-01 3.324439e-02 3.026427e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-2.069436e-02 9.358834e+00 -4.678709e-01) (-1.071879e-03 2.989247e-01 -6.494001e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.238427e+01 5.013809e+00 9.393182e+01) (-3.167143e-01 6.257392e-02 2.997864e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.75e-05      	((1.719208e-02 5.807791e+00 -1.629502e+00) (-3.189980e-03 2.995622e-01 -6.058941e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.026465e+01 1.659114e+01 5.807426e+01) (-3.151997e-01 5.546320e-02 3.024542e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
