# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((1.154780e-01 1.547483e+01 4.864100e-01) (-9.694698e-03 4.900178e-01 9.750221e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.040532e+01 -4.523531e+00 1.534503e+02) (-4.084664e-01 -1.077410e-01 4.983868e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-3.613671e+00 6.364044e+01 8.971277e-01) (-3.968591e-03 6.401578e-01 2.046131e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.317067e+01 -1.211991e+01 6.721394e+02) (-5.661314e-01 -2.480922e-02 6.427331e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-1.698212e+01 1.310815e+02 8.871952e+00) (-4.438014e-03 6.234433e-01 -5.908940e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.429485e+01 -1.051455e+02 1.480626e+03) (-6.133812e-01 5.408750e-02 6.266189e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-7.367396e+00 8.720391e+01 -1.609752e+00) (2.612003e-02 5.373562e-01 -3.018942e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.938837e+01 1.027071e+01 9.455656e+02) (-7.722686e-01 3.326133e-01 5.094884e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((9.214253e+00 2.185535e+01 -1.106093e+01) (2.668661e-02 5.046417e-01 -1.733403e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.247952e+02 1.224251e+02 1.255863e+02) (-6.159089e-01 2.040894e-01 4.764115e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((9.084318e+00 2.217687e+00 -7.290022e+00) (1.564151e-02 4.670838e-01 -3.470446e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.888497e+01 8.428574e+01 -6.927405e+01) (-4.488361e-01 5.262642e-02 4.503550e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((4.071483e-01 1.144525e+01 9.810418e-01) (6.988397e-03 4.535967e-01 1.094689e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.056087e+00 -8.176072e+00 1.102990e+02) (-2.973529e-01 -9.997258e-02 4.457076e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-4.501954e+00 2.155624e+01 4.859973e+00) (-5.231516e-03 4.455809e-01 9.635608e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.739025e+01 -5.252190e+01 2.606538e+02) (-3.036524e-01 -1.007864e-01 4.500302e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-4.345095e+00 2.110377e+01 2.972515e+00) (-1.185999e-02 4.333689e-01 -7.459613e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.602577e+00 -3.365361e+01 2.544879e+02) (-3.935757e-01 -5.287407e-03 4.444708e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((-1.986871e+00 1.332016e+01 -1.118285e+00) (-1.251438e-02 4.202539e-01 -9.331245e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.367186e+01 9.739025e+00 1.530411e+02) (-4.641870e-01 7.963808e-02 4.320135e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
