# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
2.5e-06       	((5.478729e-01 2.288822e+01 7.311167e-02) (8.281002e-04 5.999772e-01 -5.926006e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.902155e+01 2.327069e-01 2.234608e+02) (-6.222203e-01 5.739816e-02 5.979325e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
5e-06         	((-1.235487e+00 1.036064e+02 -4.132057e+00) (4.743094e-03 8.144185e-01 -1.143786e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.305048e+02 4.166858e+01 1.048393e+03) (-8.093731e-01 1.167637e-01 8.081366e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
7.5e-06       	((-1.122068e+01 1.854566e+02 -1.313384e+01) (2.083778e-02 8.050710e-01 -1.071554e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.960036e+02 1.223746e+02 1.967449e+03) (-7.484416e-01 1.226761e-01 7.829212e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1e-05         	((-3.271077e+00 8.303132e+01 -2.241816e+01) (3.098249e-02 7.028170e-01 -8.282719e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.067696e+02 2.231714e+02 8.657320e+02) (-6.301995e-01 1.064502e-01 6.702186e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1.25e-05      	((1.207215e+01 3.245968e+01 -3.740951e+00) (3.526852e-02 1.176926e+00 2.132250e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.215058e+01 4.980560e+01 2.037952e+02) (1.349921e+00 -2.103311e+00 1.137485e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1.5e-05       	((2.324381e+01 2.300541e+02 6.830666e+01) (2.690226e-02 1.436328e+00 3.205223e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.670781e+02 -6.637172e+02 2.056096e+03) (2.302131e+00 -3.177964e+00 1.404410e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
1.75e-05      	((2.282248e-01 1.849676e+02 4.705236e+01) (-1.631839e-02 -1.712686e+00 -1.226941e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.682144e+02 -4.683590e+02 1.840359e+03) (-1.171408e+01 1.221687e+01 -1.688856e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2e-05         	((-7.706953e+00 5.154021e+01 1.668881e+00) (-6.203497e-02 -2.141270e+00 -1.093186e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.459591e+01 -2.214291e+01 5.921056e+02) (-1.011176e+01 1.085961e+01 -2.069073e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2.25e-05      	((-6.291013e+00 -1.141158e+02 -4.186231e+01) (-9.110324e-02 -1.322449e+00 -6.470681e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.755269e+02 4.125799e+02 -1.071596e+03) (-6.010506e+00 6.397289e+00 -1.223530e+01) (0.000000e+00 0.000000e+00 0.000000e+00))
2.5e-05       	((2.636334e+00 -9.306813e+01 -3.265322e+01) (-2.405639e-02 6.529359e-01 -8.223168e-03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.875228e+02 3.269739e+02 -9.527703e+02) (-5.780562e-01 7.062046e-02 6.760952e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
