,power,speed
2018-05-18 14:10:05,0.0,66.78
2018-05-18 14:10:06,186.0,98.316
2018-05-18 14:10:07,186.0,105.12
2018-05-18 14:10:08,146.0,117.07199999999999
2018-05-18 14:10:09,146.0,128.124
2018-05-18 14:10:10,125.0,134.856
2018-05-18 14:10:11,111.0,139.212
2018-05-18 14:10:12,111.0,147.744
2018-05-18 14:10:13,108.0,156.42
2018-05-18 14:10:14,107.0,166.536
2018-05-18 14:10:15,107.0,171.71999999999997
2018-05-18 14:10:16,106.0,173.62800000000001
2018-05-18 14:10:17,104.0,176.4
2018-05-18 14:10:18,102.0,183.096
2018-05-18 14:10:19,102.0,186.19199999999998
2018-05-18 14:10:20,110.0,193.176
2018-05-18 14:10:21,107.0,195.12
2018-05-18 14:10:22,96.0,196.596
2018-05-18 14:10:23,102.0,202.788
2018-05-18 14:10:24,93.0,203.868
2018-05-18 14:10:25,93.0,206.60399999999998
2018-05-18 14:10:26,100.0,209.952
2018-05-18 14:10:27,104.0,214.02
2018-05-18 14:10:28,104.0,215.244
2018-05-18 14:10:29,97.0,218.268
2018-05-18 14:10:30,97.0,219.49200000000002
2018-05-18 14:10:31,99.0,223.30800000000002
2018-05-18 14:10:32,100.0,225.25199999999998
2018-05-18 14:10:33,107.0,228.6
2018-05-18 14:10:34,108.0,229.284
2018-05-18 14:10:35,109.0,229.284
2018-05-18 14:10:36,120.0,235.58399999999997
2018-05-18 14:10:37,127.0,237.024
2018-05-18 14:10:38,126.0,237.744
2018-05-18 14:10:39,113.0,240.696
2018-05-18 14:10:40,97.0,239.21999999999997
2018-05-18 14:10:41,89.0,238.464
2018-05-18 14:10:42,84.0,242.964
2018-05-18 14:10:43,89.0,249.264
2018-05-18 14:10:44,110.0,253.332
2018-05-18 14:10:45,128.0,254.16
2018-05-18 14:10:46,142.0,253.332
2018-05-18 14:10:47,144.0,255.852
2018-05-18 14:10:48,148.0,255.024
2018-05-18 14:10:49,144.0,257.544
2018-05-18 14:10:50,132.0,258.408
2018-05-18 14:10:51,116.0,261.036
2018-05-18 14:10:52,104.0,257.544
2018-05-18 14:10:53,98.0,257.544
2018-05-18 14:10:54,92.0,254.16
2018-05-18 14:10:55,101.0,255.852
2018-05-18 14:10:56,104.0,258.408
2018-05-18 14:10:57,110.0,261.036
2018-05-18 14:10:58,109.0,260.172
2018-05-18 14:10:59,118.0,264.59999999999997
2018-05-18 14:11:00,118.0,262.8
2018-05-18 14:11:01,116.0,264.59999999999997
2018-05-18 14:11:02,114.0,262.8
2018-05-18 14:11:03,114.0,264.59999999999997
2018-05-18 14:11:04,118.0,264.59999999999997
2018-05-18 14:11:05,102.0,264.59999999999997
2018-05-18 14:11:06,88.0,259.272
2018-05-18 14:11:07,78.0,259.272
2018-05-18 14:11:08,92.0,256.716
2018-05-18 14:11:09,94.0,264.59999999999997
2018-05-18 14:11:10,91.0,268.272
2018-05-18 14:11:11,94.0,265.536
2018-05-18 14:11:12,96.0,268.272
2018-05-18 14:11:13,107.0,269.20799999999997
2018-05-18 14:11:14,118.0,266.436
2018-05-18 14:11:15,124.0,266.436
2018-05-18 14:11:16,124.0,265.536
2018-05-18 14:11:17,120.0,265.536
2018-05-18 14:11:18,112.0,261.936
2018-05-18 14:11:19,106.0,264.59999999999997
2018-05-18 14:11:20,100.0,262.8
2018-05-18 14:11:21,96.0,260.172
2018-05-18 14:11:22,86.0,262.8
2018-05-18 14:11:23,84.0,262.8
2018-05-18 14:11:24,90.0,262.8
2018-05-18 14:11:25,95.0,261.036
2018-05-18 14:11:26,98.0,262.8
2018-05-18 14:11:27,105.0,258.408
2018-05-18 14:11:28,90.0,257.544
2018-05-18 14:11:29,103.0,257.544
2018-05-18 14:11:30,96.0,257.544
2018-05-18 14:11:31,96.0,260.172
2018-05-18 14:11:32,100.0,259.272
2018-05-18 14:11:33,94.0,259.272
2018-05-18 14:11:34,99.0,260.172
2018-05-18 14:11:35,96.0,258.408
2018-05-18 14:11:36,102.0,265.536
2018-05-18 14:11:37,122.0,270.18
2018-05-18 14:11:38,131.0,273.024
2018-05-18 14:11:39,115.0,273.024
2018-05-18 14:11:40,111.0,273.024
2018-05-18 14:11:41,114.0,267.37199999999996
2018-05-18 14:11:42,94.0,265.536
2018-05-18 14:11:43,109.0,261.936
2018-05-18 14:11:44,109.0,261.936
2018-05-18 14:11:45,98.0,261.036
2018-05-18 14:11:46,80.0,258.408
2018-05-18 14:11:47,77.0,256.716
2018-05-18 14:11:48,79.0,255.852
2018-05-18 14:11:49,73.0,253.332
2018-05-18 14:11:50,75.0,252.50400000000002
2018-05-18 14:11:51,79.0,252.50400000000002
2018-05-18 14:11:52,81.0,254.16
2018-05-18 14:11:53,95.0,255.852
2018-05-18 14:11:54,98.0,257.544
2018-05-18 14:11:55,99.0,252.50400000000002
2018-05-18 14:11:56,105.0,255.852
2018-05-18 14:11:57,110.0,254.16
2018-05-18 14:11:58,110.0,256.716
2018-05-18 14:11:59,118.0,257.544
2018-05-18 14:12:00,112.0,259.272
