,speed,power,crop
0,7.216,86.4,0.0
1,7.144,99.2,0.0
2,7.144,140.8,0.0
3,7.192,140.8,0.0
4,7.192,216.0,0.0
5,7.289,216.0,0.0
6,7.3389999999999995,102.4,0.0
7,7.3389999999999995,102.4,0.0
8,7.39,131.2,0.0
9,7.3389999999999995,131.2,0.0
10,7.314,131.2,0.0
11,7.167999999999999,118.4,0.0
12,7.121,118.4,0.0
13,7.074,118.4,0.0
14,7.121,204.8,0.0
15,7.097,179.2,0.0
16,7.05,179.2,0.0
17,7.027,116.8,0.0
18,6.959,134.4,0.0
19,6.982,118.4,0.0
20,6.914,62.4,0.0
21,6.937,81.6,0.0
22,7.027,75.2,0.0
23,6.959,89.6,0.0
24,6.805,0.0,0.0
25,6.617000000000001,0.0,0.0
26,6.7620000000000005,0.0,0.0
27,6.937,144.0,0.0
28,7.097,0.0,0.0
29,7.144,0.0,0.0
30,7.097,0.0,0.0
31,7.097,0.0,0.0
32,7.167999999999999,0.0,0.0
33,7.005,0.0,0.0
34,7.097,89.6,0.0
35,7.192,89.6,0.0
36,7.144,104.0,0.0
37,7.074,124.8,0.0
38,7.005,124.8,0.0
39,6.914,110.4,0.0
40,7.005,172.8,0.0
41,7.005,152.0,0.0
42,7.144,155.2,0.0
43,7.074,166.4,0.0
44,7.05,177.6,0.0
45,6.982,142.4,0.0
46,6.892,153.6,0.0
47,6.892,153.6,0.0
48,6.892,88.0,0.0
49,6.87,97.6,0.0
50,6.914,97.6,0.0
51,6.805,94.4,0.0
52,6.892,97.6,0.0
53,6.805,113.6,0.0
54,6.892,126.4,0.0
55,6.87,144.0,0.0
56,6.892,160.0,0.0
57,6.959,161.6,0.0
58,6.982,145.6,0.0
59,6.892,137.6,0.0
60,6.827000000000001,124.8,0.0
61,6.937,124.8,0.0
62,7.3389999999999995,124.8,0.0
63,7.572,216.0,0.0
64,7.848,289.6,0.0
65,7.877000000000001,276.8,0.0
66,7.791,233.6,0.0
67,7.763,172.8,0.0
68,7.735,172.8,0.0
69,7.994,297.6,0.0
70,7.994,297.6,0.0
71,7.994,297.6,0.0
72,7.994,275.2,0.0
73,7.994,236.8,0.0
74,8.024,176.0,0.0
75,8.302999999999999,0.0,0.0
76,8.084,0.0,0.0
77,8.238999999999999,0.0,0.0
78,8.302999999999999,0.0,0.0
79,8.5,126.4,0.0
80,8.335,182.4,0.0
81,8.176,182.4,0.0
82,8.145,171.2,0.0
83,8.271,0.0,0.0
84,8.271,0.0,0.0
85,8.238999999999999,0.0,0.0
86,8.367,0.0,0.0
87,8.367,219.2,0.0
88,8.433,188.8,0.0
89,8.5,201.6,0.0
90,8.5,195.2,0.0
91,8.5,168.0,0.0
92,8.367,180.8,0.0
93,8.335,180.8,0.0
94,8.466000000000001,326.4,0.0
95,8.433,326.4,0.0
96,8.466000000000001,272.0,0.0
97,8.433,222.4,0.0
98,8.302999999999999,219.2,0.0
99,8.335,164.8,0.0
100,8.271,132.8,0.0
101,8.4,155.2,0.0
102,8.466000000000001,179.2,0.0
103,8.367,182.4,0.0
104,8.367,208.0,0.0
105,8.335,208.0,0.0
106,8.4,246.4,0.0
107,8.5,0.0,0.0
108,8.5,0.0,0.0
109,8.5,0.0,0.0
110,8.466000000000001,0.0,0.0
111,8.567,0.0,0.0
112,8.602,0.0,0.0
113,8.5,0.0,0.0
114,8.533,0.0,0.0
115,8.4,0.0,0.0
116,8.335,0.0,0.0
117,8.302999999999999,0.0,0.0
118,8.335333333333331,0.0,0.0
119,8.36766666666667,0.0,0.0
120,8.4,0.0,0.0
121,8.335,0.0,0.0
122,8.145,0.0,0.0
123,8.335,0.0,0.0
124,8.335,0.0,0.0
125,8.4,0.0,0.0
126,8.367,0.0,0.0
127,8.238999999999999,0.0,0.0
128,8.176,0.0,0.0
129,8.024,0.0,0.0
130,8.176,0.0,0.0
131,8.176,0.0,0.0
132,8.145,0.0,0.0
133,8.176,0.0,0.0
134,8.115,0.0,0.0
135,8.251861111111111,0.0,0.0
136,8.388722222222219,0.0,0.0
137,8.52558333333333,0.0,0.0
138,8.66241666666667,0.0,0.0
139,8.79927777777778,0.0,0.0
140,8.936138888888891,0.0,0.0
141,9.073,0.0,0.0
142,9.13833333333333,34.66672,0.0
143,9.20366666666667,69.33328,0.0
144,9.269,104.0,0.0
145,8.923,104.0,0.0
146,9.229,112.0,0.0
147,9.309,112.0,0.0
148,9.269,160.0,0.0
149,9.515,257.6,0.0
150,9.4735,376.0,0.0
151,9.432,494.4,0.0
152,9.472999999999999,483.2,0.0
153,9.557,483.2,0.0
154,9.73,369.6,0.0
155,9.775,414.4,0.0
156,9.91,0.0,0.0
157,10.002,0.0,0.0
158,10.096,0.0,0.0
159,10.002,0.0,0.0
160,10.049,0.0,0.0
161,9.863999999999999,0.0,0.0
162,9.686,0.0,0.0
163,9.686,0.0,0.0
164,9.73,0.0,0.0
165,9.73,0.0,0.0
166,9.73,0.0,0.0
167,9.818999999999999,299.2,0.0
168,9.797,188.8,0.0
169,9.818999999999999,188.8,0.0
170,9.818999999999999,198.4,0.0
171,9.73,198.4,0.0
172,9.557,284.8,0.0
173,9.686,318.4,0.0
174,9.775,304.0,0.0
175,9.775,342.4,0.0
176,9.91,393.6,0.0
177,10.096,356.8,0.0
178,10.167,315.2,0.0
179,10.167,0.0,0.0
180,9.91,0.0,0.0
181,9.432,0.0,0.0
182,9.309,0.0,0.0
183,9.309,0.0,0.0
184,9.151,0.0,0.0
185,9.229,0.0,0.0
186,9.309,0.0,0.0
187,9.35,0.0,0.0
188,9.557,0.0,0.0
189,9.35,0.0,0.0
190,9.39,0.0,0.0
191,9.432,0.0,0.0
192,9.45275,0.0,0.0
193,9.4735,0.0,0.0
194,9.49425,0.0,0.0
195,9.515,0.0,0.0
196,9.746,0.0,0.0
197,9.977,0.0,0.0
198,10.208,0.0,0.0
199,10.439,0.0,0.0
200,10.645999999999999,416.0,0.0
201,10.752,430.4,0.0
202,10.752,489.6,0.0
203,10.699000000000002,488.0,0.0
204,10.915999999999999,700.8,0.0
205,11.085,676.8,0.0
206,11.2,702.4,0.0
207,11.259,702.4,0.0
208,11.142000000000001,513.6,0.0
209,11.171,352.0,0.0
210,11.2,284.8,0.0
211,10.970999999999998,331.2,0.0
212,10.860999999999999,392.0,0.0
213,10.944,392.0,0.0
214,10.970999999999998,392.0,0.0
215,11.085,464.0,0.0
216,11.53,680.0,0.0
217,11.880999999999998,483.2,0.0
218,12.013,452.8,0.0
219,11.815,524.8,0.0
220,11.437999999999999,488.0,0.0
221,11.318,524.8,0.0
222,11.318,524.8,0.0
223,11.171,563.2,0.0
224,11.142000000000001,352.0,0.0
225,11.142000000000001,352.0,0.0
226,11.2,312.0,0.0
227,11.2,312.0,0.0
228,11.085,323.2,0.0
229,10.915999999999999,332.8,0.0
230,10.860999999999999,380.8,0.0
231,10.915999999999999,473.6,0.0
232,10.915999999999999,451.2,0.0
233,10.970999999999998,424.0,0.0
234,10.970999999999998,424.0,0.0
235,11.378,320.0,0.0
236,11.408,366.4,0.0
237,11.437999999999999,560.0,0.0
238,11.259,560.0,0.0
239,11.085,593.6,0.0
240,11.085,593.6,0.0
241,11.142000000000001,484.8,0.0
242,11.085,484.8,0.0
243,11.171,304.0,0.0
244,11.142000000000001,310.4,0.0
245,11.085,310.4,0.0
246,11.259,313.6,0.0
247,11.142000000000001,313.6,0.0
248,10.860999999999999,408.0,0.0
249,10.752,400.0,0.0
250,10.593,395.2,0.0
251,10.439,395.2,0.0
252,10.24,65.6,0.0
253,10.167,8.0,0.0
254,9.818999999999999,8.0,0.0
255,9.686,27.2,0.0
256,9.39,0.0,0.0
257,9.112,0.0,0.0
258,8.706,0.0,0.0
259,8.636000000000001,0.0,0.0
260,8.567,0.0,0.0
261,8.5,0.0,0.0
262,8.4,0.0,0.0
263,8.271,0.0,0.0
264,8.145,0.0,0.0
265,7.906000000000001,0.0,0.0
266,7.791,0.0,0.0
267,7.599,59.2,0.0
268,7.265,16.0,0.0
269,7.074,14.4,0.0
270,6.6579999999999995,14.4,0.0
271,5.892,11.2,0.0
272,4.301,12.8,0.0
273,3.753,12.8,0.0
274,3.826,0.0,0.0
275,3.339,0.0,0.0
276,3.339,0.0,0.0
277,0.0,0.0,0.0
278,3.59,0.0,0.0
279,4.518,0.0,0.0
280,5.43,316.8,0.0
281,6.007000000000001,363.2,0.0
282,6.87,393.6,0.0
